policy_no,policy_type,idv_sum_insured,status,next_renewal,balance_amount
POL-71737555,Private Car Package - Standard,600000,Active,7/23/2025,600000
POL-71898789,Private Car Package - Zero Depreciation,489999,Flagged,1/26/2026,234854
POL-71907229,Private Car Package - Standard,350000,Flagged,5/7/2026,135492
POL-72276215,Private Car Package - Zero Depreciation,600000,Active,3/17/2025,534699
POL-72367587,Private Car Package - Zero Depreciation,840000,Active,7/25/2026,513053
POL-72502140,Private Car Package - Standard,600000,Active,9/26/2026,600000
POL-72838143,Private Car Package - Standard,600000,Active,9/21/2025,600000
POL-72884540,Private Car Package - Zero Depreciation,489999,Flagged,3/19/2025,345610
POL-72920426,Private Car Package - Zero Depreciation,550000,Active,1/8/2025,550000
POL-72920432,Private Car Package - Zero Depreciation,489999,Flagged,9/7/2026,290952
POL-72923970,Private Car Package - Standard,750000,Active,5/27/2025,603779
POL-73287084,Private Car Package - Standard,750000,Active,10/30/2025,750000
POL-73331588,Private Car Package - Standard,550000,Active,3/31/2026,444253
POL-73612337,Private Car Package - Standard,600000,Flagged,4/13/2025,383453
POL-73687165,Private Car Package - Zero Depreciation,1050000,Active,8/4/2026,1050000
POL-73724955,Private Car Package - Zero Depreciation,1050000,Active,6/15/2025,1050000
POL-74157257,Private Car Package - Zero Depreciation,595000,Active,12/14/2025,595000
POL-74159948,Private Car Package - Zero Depreciation,770000,Active,9/30/2026,770000
POL-74163929,Private Car Package - Standard,550000,Flagged,11/2/2026,312918
POL-74632772,Private Car Package - Zero Depreciation,350000,Active,1/2/2025,350000
POL-74636784,Private Car Package - Zero Depreciation,1050000,Flagged,5/21/2025,697906
POL-74898641,Private Car Package - Zero Depreciation,840000,Active,4/9/2026,581459
POL-74906544,Private Car Package - Standard,600000,Flagged,5/16/2025,435257
POL-75007607,Private Car Package - Zero Depreciation,1050000,Active,4/19/2026,737452
POL-75039481,Private Car Package - Standard,600000,Active,9/20/2026,516826
POL-75087534,Private Car Package - Standard,750000,Active,11/9/2026,696414
POL-75121212,Private Car Package - Standard,600000,Active,7/2/2026,600000
POL-75128691,Private Car Package - Standard,600000,Flagged,11/8/2026,481064
POL-75139118,Private Car Package - Zero Depreciation,489999,Flagged,10/13/2025,239871
POL-75184311,Private Car Package - Zero Depreciation,1020000,Active,8/11/2026,796257
POL-75387553,Private Car Package - Zero Depreciation,840000,Active,4/8/2025,674077
POL-75504498,Private Car Package - Standard,600000,Flagged,8/15/2025,498674
POL-75654163,Private Car Package - Zero Depreciation,840000,Flagged,8/11/2026,202981
POL-75733380,Private Car Package - Zero Depreciation,1050000,Active,1/6/2025,929052
POL-75902911,Private Car Package - Zero Depreciation,489999,Active,10/15/2025,489999
POL-75935940,Private Car Package - Zero Depreciation,840000,Active,11/2/2025,840000
POL-75962247,Private Car Package - Zero Depreciation,1050000,Active,5/11/2025,965105
POL-76248591,Private Car Package - Standard,350000,Active,10/27/2025,283636
POL-76444053,Private Car Package - Zero Depreciation,595000,Active,2/14/2025,509706
POL-76502478,Private Car Package - Zero Depreciation,750000,Active,1/4/2026,600246
POL-76927842,Private Car Package - Zero Depreciation,840000,Active,5/1/2025,840000
POL-77149179,Private Car Package - Zero Depreciation,550000,Flagged,10/1/2026,148935
POL-77230596,Private Car Package - Standard,350000,Active,11/25/2026,323407
POL-77373162,Private Car Package - Zero Depreciation,935000,Active,7/23/2025,726522
POL-77399897,Private Car Package - Zero Depreciation,935000,Active,6/27/2026,935000
POL-77700838,Private Car Package - Standard,750000,Active,3/20/2025,513180
POL-77872607,Private Car Package - Zero Depreciation,1050000,Active,1/28/2026,888015
POL-77969765,Private Car Package - Standard,550000,Flagged,5/12/2025,400216
POL-78057275,Private Car Package - Zero Depreciation,750000,Active,7/10/2025,704266
POL-78155364,Private Car Package - Standard,600000,Active,5/26/2025,563587
POL-78266984,Private Car Package - Standard,550000,Active,6/30/2026,550000
POL-78279590,Private Car Package - Zero Depreciation,350000,Active,11/1/2026,350000
POL-78402132,Private Car Package - Standard,600000,Active,1/14/2025,548230
POL-78411931,Private Car Package - Zero Depreciation,840000,Active,5/11/2025,536225
POL-78413956,Private Car Package - Zero Depreciation,770000,Active,1/15/2026,770000
POL-78414441,Private Car Package - Zero Depreciation,770000,Active,12/6/2025,668550
POL-78430617,Private Car Package - Standard,750000,Active,1/18/2026,667018
POL-78630932,Private Car Package - Zero Depreciation,840000,Active,3/11/2026,840000
POL-78650917,Private Car Package - Standard,550000,Flagged,12/13/2025,22785
POL-78666257,Private Car Package - Zero Depreciation,1050000,Active,4/21/2026,982698
POL-78707394,Private Car Package - Zero Depreciation,840000,Flagged,2/22/2026,542184
POL-79214301,Private Car Package - Zero Depreciation,770000,Active,5/23/2026,770000
POL-79237090,Private Car Package - Standard,750000,Active,2/11/2026,705993
POL-79242621,Private Car Package - Zero Depreciation,489999,Active,9/22/2025,489999
POL-79403400,Private Car Package - Zero Depreciation,489999,Active,2/16/2026,453473
POL-79600348,Private Car Package - Standard,750000,Active,11/30/2026,750000
POL-79858361,Private Car Package - Zero Depreciation,489999,Active,6/24/2026,397818
POL-79886378,Private Car Package - Standard,350000,Active,11/30/2026,350000
POL-79972026,Private Car Package - Zero Depreciation,1050000,Active,10/4/2026,1050000
POL-79989658,Private Car Package - Zero Depreciation,1050000,Active,6/25/2026,856057
POL-80152365,Private Car Package - Zero Depreciation,840000,Active,6/29/2025,781682
POL-80285192,Private Car Package - Zero Depreciation,600000,Active,6/4/2026,600000
POL-80485474,Private Car Package - Standard,750000,Active,1/8/2026,706878
POL-80489874,Private Car Package - Zero Depreciation,770000,Active,1/14/2025,671056
POL-80568907,Private Car Package - Zero Depreciation,350000,Active,4/28/2025,350000
POL-80611847,Private Car Package - Zero Depreciation,935000,Active,12/19/2025,935000
POL-80675360,Private Car Package - Standard,750000,Active,9/25/2026,750000
POL-80709384,Private Car Package - Zero Depreciation,1050000,Active,3/20/2025,806673
POL-80711726,Private Car Package - Zero Depreciation,550000,Active,12/23/2025,550000
POL-80804755,Private Car Package - Zero Depreciation,600000,Active,1/27/2025,600000
POL-80894857,Private Car Package - Zero Depreciation,750000,Active,12/26/2025,750000
POL-80921304,Private Car Package - Zero Depreciation,550000,Active,3/20/2026,550000
POL-81149266,Private Car Package - Standard,600000,Active,8/22/2025,564731
POL-81167810,Private Car Package - Zero Depreciation,750000,Active,3/1/2026,606941
POL-81634746,Private Car Package - Standard,350000,Active,3/28/2026,350000
POL-81774514,Private Car Package - Zero Depreciation,770000,Active,10/29/2026,663843
POL-81810041,Private Car Package - Standard,350000,Active,4/5/2026,315591
POL-81830696,Private Car Package - Zero Depreciation,489999,Active,8/14/2025,347449
POL-81927820,Private Car Package - Standard,750000,Active,1/3/2025,750000
POL-82088013,Private Car Package - Standard,550000,Active,5/1/2025,550000
POL-82106881,Private Car Package - Zero Depreciation,750000,Active,10/21/2026,698771
POL-82137325,Private Car Package - Standard,600000,Active,2/24/2025,453748
POL-82186581,Private Car Package - Zero Depreciation,600000,Active,10/5/2026,534272
POL-82344339,Private Car Package - Zero Depreciation,1020000,Active,4/7/2026,861047
POL-82462451,Private Car Package - Zero Depreciation,770000,Active,10/2/2025,544401
POL-82573974,Private Car Package - Standard,550000,Active,8/9/2025,550000
POL-82694310,Private Car Package - Standard,350000,Flagged,4/17/2025,142503
POL-82766478,Private Car Package - Zero Depreciation,770000,Active,10/24/2026,585795
POL-82771788,Private Car Package - Zero Depreciation,840000,Active,6/28/2026,840000
POL-82850541,Private Car Package - Zero Depreciation,1050000,Flagged,3/1/2025,574614
POL-83006355,Private Car Package - Zero Depreciation,489999,Active,3/17/2025,321056
POL-83236517,Private Car Package - Zero Depreciation,350000,Active,9/29/2025,350000
POL-83264145,Private Car Package - Zero Depreciation,489999,Active,10/12/2026,401773
POL-83424781,Private Car Package - Zero Depreciation,840000,Active,8/19/2026,778325
POL-83461720,Private Car Package - Standard,600000,Active,10/1/2026,600000
POL-83481435,Private Car Package - Zero Depreciation,840000,Active,11/10/2025,695377
POL-83492090,Private Car Package - Zero Depreciation,770000,Flagged,5/3/2025,548384
POL-83562016,Private Car Package - Zero Depreciation,1050000,Active,5/2/2025,857577
POL-83701475,Private Car Package - Zero Depreciation,1050000,Active,8/24/2026,1050000
POL-83897513,Private Car Package - Zero Depreciation,1050000,Active,9/1/2026,630906
POL-83958494,Private Car Package - Standard,600000,Active,10/17/2025,600000
POL-84002874,Private Car Package - Zero Depreciation,600000,Active,5/30/2026,537990
POL-84054673,Private Car Package - Zero Depreciation,935000,Active,9/18/2026,935000
POL-84079460,Private Car Package - Zero Depreciation,750000,Active,6/19/2025,660700
POL-84170314,Private Car Package - Zero Depreciation,1050000,Active,1/24/2026,1050000
POL-84177484,Private Car Package - Zero Depreciation,750000,Active,12/12/2025,750000
POL-84341341,Private Car Package - Zero Depreciation,840000,Active,8/15/2026,840000
POL-84437899,Private Car Package - Standard,600000,Active,9/14/2026,425988
POL-84508605,Private Car Package - Zero Depreciation,770000,Flagged,6/19/2025,594454
POL-84625353,Private Car Package - Standard,600000,Active,12/21/2025,417664
POL-84661347,Private Car Package - Zero Depreciation,770000,Active,3/19/2025,614214
POL-84878081,Private Car Package - Zero Depreciation,489999,Active,8/18/2025,429104
POL-85049422,Private Car Package - Zero Depreciation,489999,Flagged,5/28/2026,268875
POL-85195124,Private Car Package - Zero Depreciation,550000,Active,6/3/2026,386316
POL-85422106,Private Car Package - Standard,600000,Active,10/28/2026,600000
POL-85474445,Private Car Package - Zero Depreciation,595000,Active,6/17/2026,509952
POL-85478385,Private Car Package - Zero Depreciation,750000,Active,7/19/2026,750000
POL-85614503,Private Car Package - Zero Depreciation,1275000,Active,6/11/2025,1059269
POL-85644673,Private Car Package - Zero Depreciation,840000,Active,3/2/2025,840000
POL-85925329,Private Car Package - Zero Depreciation,750000,Flagged,2/24/2026,316690
POL-85971255,Private Car Package - Standard,350000,Active,8/18/2025,331745
POL-86076148,Private Car Package - Zero Depreciation,350000,Active,2/18/2026,306395
POL-86286922,Private Car Package - Zero Depreciation,770000,Active,9/11/2025,770000
POL-86544408,Private Car Package - Zero Depreciation,770000,Active,11/4/2025,631667
POL-86719585,Private Car Package - Zero Depreciation,1050000,Active,11/8/2025,1050000
POL-86722311,Private Car Package - Zero Depreciation,770000,Flagged,11/27/2025,285584
POL-86738399,Private Car Package - Zero Depreciation,770000,Active,1/9/2025,770000
POL-86775530,Private Car Package - Zero Depreciation,840000,Active,4/8/2025,840000
POL-86817850,Private Car Package - Zero Depreciation,1275000,Active,9/6/2026,1275000
POL-86868939,Private Car Package - Standard,350000,Active,11/20/2025,298231
POL-87149925,Private Car Package - Zero Depreciation,840000,Active,7/11/2025,786174
POL-87431163,Private Car Package - Zero Depreciation,595000,Active,3/15/2026,595000
POL-87529115,Private Car Package - Zero Depreciation,600000,Flagged,4/15/2026,271265
POL-87554371,Private Car Package - Zero Depreciation,935000,Active,10/16/2026,935000
POL-87607846,Private Car Package - Standard,750000,Active,10/3/2025,591359
POL-87640790,Private Car Package - Zero Depreciation,770000,Flagged,7/15/2026,392878
POL-87699729,Private Car Package - Zero Depreciation,550000,Active,11/6/2025,491545
POL-87727702,Private Car Package - Zero Depreciation,770000,Active,7/18/2026,770000
POL-87904542,Private Car Package - Zero Depreciation,840000,Active,4/2/2026,840000
POL-88018927,Private Car Package - Zero Depreciation,840000,Active,7/13/2025,840000
POL-88048927,Private Car Package - Standard,350000,Flagged,4/14/2026,89490
POL-88068291,Private Car Package - Zero Depreciation,1050000,Active,7/18/2026,1050000
POL-88121007,Private Car Package - Zero Depreciation,840000,Active,3/25/2026,551175
POL-88160646,Private Car Package - Standard,600000,Active,6/4/2025,557466
POL-88267732,Private Car Package - Standard,550000,Active,8/23/2026,483836
POL-88479223,Private Car Package - Zero Depreciation,489999,Active,6/20/2026,396440
POL-88793155,Private Car Package - Zero Depreciation,840000,Active,8/13/2025,687293
POL-88957658,Private Car Package - Zero Depreciation,840000,Active,3/31/2025,840000
POL-89132433,Private Car Package - Zero Depreciation,1050000,Active,9/27/2026,1050000
POL-89263837,Private Car Package - Zero Depreciation,595000,Flagged,1/16/2025,476284
POL-89383859,Private Car Package - Zero Depreciation,489999,Active,8/27/2026,441732
POL-89387495,Private Car Package - Zero Depreciation,840000,Active,5/14/2025,692178
POL-89436293,Private Car Package - Zero Depreciation,489999,Active,4/23/2026,489999
POL-89590190,Private Car Package - Zero Depreciation,489999,Active,5/7/2025,427325
POL-89725588,Private Car Package - Zero Depreciation,489999,Active,9/7/2025,396302
POL-90066284,Private Car Package - Zero Depreciation,935000,Active,6/1/2025,801353
POL-90066451,Private Car Package - Zero Depreciation,600000,Active,5/10/2025,462302
POL-90071779,Private Car Package - Zero Depreciation,595000,Active,9/4/2026,438771
POL-90133779,Private Car Package - Zero Depreciation,770000,Active,3/5/2025,770000
POL-90341634,Private Car Package - Standard,750000,Flagged,9/24/2025,456510
POL-90360524,Private Car Package - Zero Depreciation,770000,Active,6/13/2025,770000
POL-90433911,Private Car Package - Zero Depreciation,1275000,Active,4/15/2025,1093469
POL-90585840,Private Car Package - Zero Depreciation,750000,Active,1/22/2026,750000
POL-90914905,Private Car Package - Standard,350000,Active,12/6/2025,212104
POL-90975109,Private Car Package - Zero Depreciation,750000,Active,9/13/2025,653420
POL-91045966,Private Car Package - Standard,350000,Active,7/15/2025,350000
POL-91138874,Private Car Package - Zero Depreciation,770000,Active,12/24/2025,770000
POL-91172825,Private Car Package - Standard,550000,Flagged,7/6/2026,171448
POL-91502000,Private Car Package - Zero Depreciation,489999,Active,10/21/2025,489999
POL-91565659,Private Car Package - Zero Depreciation,770000,Active,6/15/2025,679244
POL-91771762,Private Car Package - Zero Depreciation,1050000,Flagged,12/17/2025,693409
POL-91822905,Private Car Package - Zero Depreciation,750000,Active,11/20/2025,686357
POL-91864582,Private Car Package - Zero Depreciation,770000,Active,11/17/2025,619234
POL-92035024,Private Car Package - Standard,350000,Active,9/6/2025,287645
POL-92036572,Private Car Package - Standard,550000,Flagged,2/12/2026,279123
POL-92087801,Private Car Package - Zero Depreciation,1050000,Active,9/22/2025,1050000
POL-92114627,Private Car Package - Zero Depreciation,935000,Active,1/2/2026,935000
POL-92183471,Private Car Package - Standard,550000,Active,8/21/2025,436362
POL-92220227,Private Car Package - Zero Depreciation,550000,Active,10/23/2025,550000
POL-92220486,Private Car Package - Standard,350000,Active,12/6/2025,350000
POL-92392097,Private Car Package - Zero Depreciation,1275000,Active,3/10/2026,1275000
POL-92729394,Private Car Package - Standard,550000,Active,1/10/2026,466568
POL-92759232,Private Car Package - Standard,750000,Active,7/30/2025,628410
POL-93124693,Private Car Package - Standard,350000,Active,7/17/2026,350000
POL-93284777,Private Car Package - Zero Depreciation,840000,Active,10/1/2026,652020
POL-93293680,Private Car Package - Standard,550000,Active,9/11/2025,370802
POL-93379403,Private Car Package - Zero Depreciation,1275000,Active,12/2/2025,1040426
POL-93659237,Private Car Package - Zero Depreciation,840000,Active,1/9/2025,795565
POL-93752220,Private Car Package - Zero Depreciation,1050000,Active,5/10/2025,1050000
POL-93875548,Private Car Package - Zero Depreciation,489999,Active,7/16/2025,407244
POL-93981160,Private Car Package - Zero Depreciation,550000,Flagged,6/26/2026,331658
POL-94085115,Private Car Package - Zero Depreciation,1050000,Active,9/27/2026,1050000
POL-94098031,Private Car Package - Standard,550000,Active,2/28/2026,471933
POL-94359633,Private Car Package - Zero Depreciation,840000,Active,12/30/2025,840000
POL-94506042,Private Car Package - Zero Depreciation,550000,Flagged,12/5/2025,245107
POL-94510773,Private Car Package - Zero Depreciation,600000,Active,12/30/2025,522083
POL-94611098,Private Car Package - Zero Depreciation,489999,Flagged,12/10/2025,395072
POL-94636210,Private Car Package - Zero Depreciation,600000,Active,5/15/2026,600000
POL-94660976,Private Car Package - Zero Depreciation,1275000,Active,2/15/2026,1190354
POL-94763778,Private Car Package - Zero Depreciation,840000,Active,11/14/2026,840000
POL-94824956,Private Car Package - Zero Depreciation,1050000,Active,5/25/2026,1050000
POL-94841998,Private Car Package - Standard,550000,Active,11/24/2025,550000
POL-94882282,Private Car Package - Zero Depreciation,1050000,Flagged,7/28/2025,757316
POL-95151575,Private Car Package - Standard,550000,Active,3/23/2025,435592
POL-95183150,Private Car Package - Zero Depreciation,550000,Active,1/15/2025,479905
POL-95292216,Private Car Package - Standard,750000,Active,3/25/2026,750000
POL-95420890,Private Car Package - Zero Depreciation,840000,Active,2/5/2025,632964
POL-95594577,Private Car Package - Zero Depreciation,1050000,Active,5/26/2025,980858
POL-96014825,Private Car Package - Zero Depreciation,600000,Active,9/14/2025,447482
POL-96040238,Private Car Package - Zero Depreciation,1050000,Active,6/3/2025,1050000
POL-96072343,Private Car Package - Standard,750000,Active,8/16/2025,641371
POL-96108702,Private Car Package - Zero Depreciation,1020000,Active,5/31/2026,898881
POL-96153191,Private Car Package - Standard,550000,Active,7/16/2026,550000
POL-96183103,Private Car Package - Zero Depreciation,840000,Active,9/16/2026,572164
POL-96226870,Private Car Package - Zero Depreciation,1020000,Active,12/7/2025,948977
POL-96274424,Private Car Package - Zero Depreciation,1050000,Active,5/26/2025,978439
POL-96276901,Private Car Package - Zero Depreciation,489999,Active,8/12/2025,329129
POL-96320187,Private Car Package - Standard,750000,Active,9/2/2026,600413
POL-96338137,Private Car Package - Zero Depreciation,840000,Active,5/27/2025,840000
POL-96428155,Private Car Package - Zero Depreciation,600000,Active,4/30/2025,600000
POL-96453345,Private Car Package - Standard,600000,Active,10/24/2025,533009
POL-96525824,Private Car Package - Zero Depreciation,595000,Active,11/30/2025,547471
POL-96712826,Private Car Package - Zero Depreciation,840000,Active,4/2/2026,771919
POL-96717307,Private Car Package - Zero Depreciation,935000,Active,6/21/2026,935000
POL-96753745,Private Car Package - Zero Depreciation,840000,Active,1/12/2025,690748
POL-96779667,Private Car Package - Standard,750000,Active,11/28/2025,750000
POL-96819164,Private Car Package - Zero Depreciation,550000,Active,6/8/2025,550000
POL-96874694,Private Car Package - Zero Depreciation,489999,Flagged,5/4/2026,353588
POL-96911073,Private Car Package - Zero Depreciation,350000,Active,5/17/2025,301937
POL-96919996,Private Car Package - Zero Depreciation,489999,Active,6/28/2025,428993
POL-96926309,Private Car Package - Zero Depreciation,1050000,Active,10/21/2025,903259
POL-96929451,Private Car Package - Zero Depreciation,1050000,Active,5/25/2026,1050000
POL-97200223,Private Car Package - Standard,550000,Active,2/22/2025,550000
POL-97367435,Private Car Package - Zero Depreciation,1020000,Active,11/24/2026,1020000
POL-97466588,Private Car Package - Standard,550000,Active,3/31/2026,513132
POL-97547023,Private Car Package - Zero Depreciation,1050000,Active,2/18/2025,915590
POL-97550627,Private Car Package - Zero Depreciation,840000,Flagged,11/8/2025,363096
POL-97885369,Private Car Package - Zero Depreciation,770000,Active,2/21/2025,592555
POL-97996334,Private Car Package - Standard,550000,Active,4/29/2025,505848
POL-98015841,Private Car Package - Zero Depreciation,600000,Active,11/28/2026,600000
POL-98182614,Private Car Package - Standard,750000,Active,1/3/2026,658865
POL-98218228,Private Car Package - Zero Depreciation,550000,Active,11/3/2025,550000
POL-98484179,Private Car Package - Zero Depreciation,550000,Active,7/30/2025,550000
POL-98662358,Private Car Package - Zero Depreciation,1275000,Active,11/13/2025,1095251
POL-98747543,Private Car Package - Zero Depreciation,840000,Active,3/5/2026,840000
POL-98872323,Private Car Package - Zero Depreciation,1275000,Active,2/7/2025,1191340
POL-98975737,Private Car Package - Zero Depreciation,1275000,Active,1/9/2025,1107679
POL-98997420,Private Car Package - Zero Depreciation,489999,Active,8/16/2025,489999
POL-99055057,Private Car Package - Zero Depreciation,770000,Active,2/28/2026,770000
POL-99081924,Private Car Package - Zero Depreciation,600000,Active,3/28/2026,407250
POL-99114137,Private Car Package - Zero Depreciation,770000,Active,7/8/2025,770000
POL-99237526,Private Car Package - Standard,350000,Active,7/15/2025,302950
POL-99252303,Private Car Package - Standard,600000,Active,2/1/2026,519394
POL-99322897,Private Car Package - Zero Depreciation,1275000,Active,11/2/2025,1030386
POL-99479565,Private Car Package - Zero Depreciation,840000,Active,1/22/2026,683224
POL-99569414,Private Car Package - Zero Depreciation,1050000,Active,1/26/2026,961553
POL-99614209,Private Car Package - Zero Depreciation,1050000,Active,10/23/2025,799000
POL-99680439,Private Car Package - Zero Depreciation,1275000,Flagged,4/8/2026,927514
POL-99823193,Private Car Package - Zero Depreciation,550000,Active,12/6/2025,495655
POL-99901349,Private Car Package - Zero Depreciation,840000,Active,11/13/2026,840000
